"CO_PAIS";"CO_BLOCO";"NO_BLOCO";"NO_BLOCO_ING";"NO_BLOCO_ESP"
"361";"39";"Ásia (Exclusive Oriente Médio)";"Asia (minus MIDDLE EAST)";"Asia (menos Oriente Medio)"
"420";"39";"Ásia (Exclusive Oriente Médio)";"Asia (minus MIDDLE EAST)";"Asia (menos Oriente Medio)"
"455";"39";"Ásia (Exclusive Oriente Médio)";"Asia (minus MIDDLE EAST)";"Asia (menos Oriente Medio)"
"625";"39";"Ásia (Exclusive Oriente Médio)";"Asia (minus MIDDLE EAST)";"Asia (menos Oriente Medio)"
"847";"39";"Ásia (Exclusive Oriente Médio)";"Asia (minus MIDDLE EAST)";"Asia (menos Oriente Medio)"
"741";"53";"Associação de Nações do Sudeste Asiático - ASEAN";"Association Of Southeast Asian Nations (ASEAN)";"Asociación de Países del Sudeste Asiático (ASEAN)"
"093";"53";"Associação de Nações do Sudeste Asiático - ASEAN";"Association Of Southeast Asian Nations (ASEAN)";"Asociación de Países del Sudeste Asiático (ASEAN)"
"455";"53";"Associação de Nações do Sudeste Asiático - ASEAN";"Association Of Southeast Asian Nations (ASEAN)";"Asociación de Países del Sudeste Asiático (ASEAN)"
"267";"53";"Associação de Nações do Sudeste Asiático - ASEAN";"Association Of Southeast Asian Nations (ASEAN)";"Asociación de Países del Sudeste Asiático (ASEAN)"
"420";"53";"Associação de Nações do Sudeste Asiático - ASEAN";"Association Of Southeast Asian Nations (ASEAN)";"Asociación de Países del Sudeste Asiático (ASEAN)"
"776";"53";"Associação de Nações do Sudeste Asiático - ASEAN";"Association Of Southeast Asian Nations (ASEAN)";"Asociación de Países del Sudeste Asiático (ASEAN)"
"141";"53";"Associação de Nações do Sudeste Asiático - ASEAN";"Association Of Southeast Asian Nations (ASEAN)";"Asociación de Países del Sudeste Asiático (ASEAN)"
"108";"53";"Associação de Nações do Sudeste Asiático - ASEAN";"Association Of Southeast Asian Nations (ASEAN)";"Asociación de Países del Sudeste Asiático (ASEAN)"
"365";"53";"Associação de Nações do Sudeste Asiático - ASEAN";"Association Of Southeast Asian Nations (ASEAN)";"Asociación de Países del Sudeste Asiático (ASEAN)"
"858";"53";"Associação de Nações do Sudeste Asiático - ASEAN";"Association Of Southeast Asian Nations (ASEAN)";"Asociación de Países del Sudeste Asiático (ASEAN)"
"840";"112";"Europa";"Europe";"Europa"
"163";"112";"Europa";"Europe";"Europa"
"023";"112";"Europa";"Europe";"Europa"
"245";"112";"Europa";"Europe";"Europa"
"247";"112";"Europa";"Europe";"Europa"
"301";"112";"Europa";"Europe";"Europa"
"305";"112";"Europa";"Europe";"Europa"
"831";"112";"Europa";"Europe";"Europa"
"015";"112";"Europa";"Europe";"Europa"
"246";"112";"Europa";"Europe";"Europa"
"355";"112";"Europa";"Europe";"Europa"
"442";"112";"Europa";"Europe";"Europa"
"445";"112";"Europa";"Europe";"Europa"
"676";"112";"Europa";"Europe";"Europa"
"737";"112";"Europa";"Europe";"Europa"
"393";"112";"Europa";"Europe";"Europa"
"017";"112";"Europa";"Europe";"Europa"
"020";"112";"Europa";"Europe";"Europa"
"037";"112";"Europa";"Europe";"Europa"
"150";"112";"Europa";"Europe";"Europa"
"151";"112";"Europa";"Europe";"Europa"
"152";"112";"Europa";"Europe";"Europa"
"232";"112";"Europa";"Europe";"Europa"
"271";"112";"Europa";"Europe";"Europa"
"359";"112";"Europa";"Europe";"Europa"
"375";"112";"Europa";"Europe";"Europa"
"427";"112";"Europa";"Europe";"Europa"
"440";"112";"Europa";"Europe";"Europa"
"764";"112";"Europa";"Europe";"Europa"
"791";"112";"Europa";"Europe";"Europa"
"025";"112";"Europa";"Europe";"Europa"
"195";"112";"Europa";"Europe";"Europa"
"251";"112";"Europa";"Europe";"Europa"
"449";"112";"Europa";"Europe";"Europa"
"628";"112";"Europa";"Europe";"Europa"
"767";"112";"Europa";"Europe";"Europa"
"085";"112";"Europa";"Europe";"Europa"
"111";"112";"Europa";"Europe";"Europa"
"259";"112";"Europa";"Europe";"Europa"
"367";"112";"Europa";"Europe";"Europa"
"379";"112";"Europa";"Europe";"Europa"
"386";"112";"Europa";"Europe";"Europa"
"452";"112";"Europa";"Europe";"Europa"
"467";"112";"Europa";"Europe";"Europa"
"827";"112";"Europa";"Europe";"Europa"
"790";"112";"Europa";"Europe";"Europa"
"538";"112";"Europa";"Europe";"Europa"
"495";"112";"Europa";"Europe";"Europa"
"494";"112";"Europa";"Europe";"Europa"
"072";"112";"Europa";"Europe";"Europa"
"848";"112";"Europa";"Europe";"Europa"
"697";"112";"Europa";"Europe";"Europa"
"603";"112";"Europa";"Europe";"Europa"
"498";"112";"Europa";"Europe";"Europa"
"293";"112";"Europa";"Europe";"Europa"
"275";"112";"Europa";"Europe";"Europa"
"098";"112";"Europa";"Europe";"Europa"
"087";"112";"Europa";"Europe";"Europa"
"781";"112";"Europa";"Europe";"Europa"
"670";"112";"Europa";"Europe";"Europa"
"607";"112";"Europa";"Europe";"Europa"
"573";"112";"Europa";"Europe";"Europa"
"388";"112";"Europa";"Europe";"Europa"
"321";"112";"Europa";"Europe";"Europa"
"100";"111";"Mercado Comum do Sul - Mercosul";"Southern Common Market (MERCOSUL)";"Mercado Comum del Sur (MERCOSUR)"
"845";"111";"Mercado Comum do Sul - Mercosul";"Southern Common Market (MERCOSUL)";"Mercado Comum del Sur (MERCOSUR)"
"106";"111";"Mercado Comum do Sul - Mercosul";"Southern Common Market (MERCOSUL)";"Mercado Comum del Sur (MERCOSUR)"
"063";"111";"Mercado Comum do Sul - Mercosul";"Southern Common Market (MERCOSUL)";"Mercado Comum del Sur (MERCOSUR)"
"586";"111";"Mercado Comum do Sul - Mercosul";"Southern Common Market (MERCOSUL)";"Mercado Comum del Sur (MERCOSUR)"
"069";"61";"Oceania";"Oceania";"Oceania"
"531";"61";"Oceania";"Oceania";"Oceania"
"805";"61";"Oceania";"Oceania";"Oceania"
"411";"61";"Oceania";"Oceania";"Oceania"
"542";"61";"Oceania";"Oceania";"Oceania"
"599";"61";"Oceania";"Oceania";"Oceania"
"691";"61";"Oceania";"Oceania";"Oceania"
"810";"61";"Oceania";"Oceania";"Oceania"
"313";"61";"Oceania";"Oceania";"Oceania"
"566";"61";"Oceania";"Oceania";"Oceania"
"677";"61";"Oceania";"Oceania";"Oceania"
"690";"61";"Oceania";"Oceania";"Oceania"
"165";"61";"Oceania";"Oceania";"Oceania"
"569";"61";"Oceania";"Oceania";"Oceania"
"583";"61";"Oceania";"Oceania";"Oceania"
"828";"61";"Oceania";"Oceania";"Oceania"
"875";"61";"Oceania";"Oceania";"Oceania"
"183";"61";"Oceania";"Oceania";"Oceania"
"873";"61";"Oceania";"Oceania";"Oceania"
"575";"61";"Oceania";"Oceania";"Oceania"
"490";"61";"Oceania";"Oceania";"Oceania"
"472";"61";"Oceania";"Oceania";"Oceania"
"870";"61";"Oceania";"Oceania";"Oceania"
"476";"61";"Oceania";"Oceania";"Oceania"
"563";"61";"Oceania";"Oceania";"Oceania"
"548";"61";"Oceania";"Oceania";"Oceania"
"545";"61";"Oceania";"Oceania";"Oceania"
"535";"61";"Oceania";"Oceania";"Oceania"
"508";"61";"Oceania";"Oceania";"Oceania"
"396";"61";"Oceania";"Oceania";"Oceania"
"593";"61";"Oceania";"Oceania";"Oceania"
"551";"61";"Oceania";"Oceania";"Oceania"
"511";"61";"Oceania";"Oceania";"Oceania"
"499";"61";"Oceania";"Oceania";"Oceania"
"357";"41";"Oriente Médio";"Middle East";"Oriente Medio"
"431";"41";"Oriente Médio";"Middle East";"Oriente Medio"
"198";"41";"Oriente Médio";"Middle East";"Oriente Medio"
"244";"41";"Oriente Médio";"Middle East";"Oriente Medio"
"358";"41";"Oriente Médio";"Middle East";"Oriente Medio"
"578";"41";"Oriente Médio";"Middle East";"Oriente Medio"
"579";"41";"Oriente Médio";"Middle East";"Oriente Medio"
"053";"41";"Oriente Médio";"Middle East";"Oriente Medio"
"008";"41";"Oriente Médio";"Middle East";"Oriente Medio"
"744";"41";"Oriente Médio";"Middle East";"Oriente Medio"
"403";"41";"Oriente Médio";"Middle East";"Oriente Medio"
"383";"41";"Oriente Médio";"Middle East";"Oriente Medio"
"286";"41";"Oriente Médio";"Middle East";"Oriente Medio"
"237";"41";"Oriente Médio";"Middle East";"Oriente Medio"
"369";"41";"Oriente Médio";"Middle East";"Oriente Medio"
"556";"41";"Oriente Médio";"Middle East";"Oriente Medio"
"372";"41";"Oriente Médio";"Middle East";"Oriente Medio"
"080";"41";"Oriente Médio";"Middle East";"Oriente Medio"
"154";"41";"Oriente Médio";"Middle East";"Oriente Medio"
"301";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"275";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"427";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"670";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"321";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"271";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"251";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"607";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"603";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"445";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"355";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"246";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"764";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"247";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"015";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"023";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"393";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"791";"22";"União Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
