CO_ANO;CO_MES;SH4;CO_PAIS;SG_UF_MUN;CO_MUN;KG_LIQUIDO;VL_FOB
2004;7;2204;23;RS;4302105;6706;16829
2004;4;2204;271;RS;4302105;5445;10769
2004;7;2204;232;RS;4302105;3780;11088
2004;11;2204;249;RS;4302105;28435;81629
2004;12;2204;63;RS;4308607;477;10494
2004;4;2204;586;PR;4108809;15817;6094
2004;10;2204;149;RS;4302105;675;3138
2004;5;2204;586;PR;4108809;6779;2321
2004;12;2204;580;RS;4308607;17519;32883
2004;11;2204;249;RS;4308607;77;390
2004;4;2204;249;RS;4308607;953;2424
2004;12;2204;586;PR;4108304;173100;66331
2004;8;2204;586;PR;4108809;5877;2146
2004;10;2204;271;RS;4302105;5445;10769
2004;1;2204;580;SP;3425904;360;390
2005;4;2204;538;PE;2608750;13608;19320
2005;7;2204;676;RS;4302105;40800;15994
2005;4;2204;23;PE;2608750;10692;15840
2005;6;2204;271;RS;4302105;5445;10769
2005;4;2204;586;PR;4108304;141000;39018
2005;11;2204;586;MS;5206606;37472;25438
2005;10;2204;63;RS;4322806;1;1
2005;3;2204;40;RJ;3304557;246;320
2005;9;2204;337;SP;3447502;596;462
2005;9;2204;676;RS;4302105;96000;40000
2005;8;2204;337;SP;3447502;452;485
2005;5;2204;603;BA;2907202;9909;10184
